"tripId","stop","when","plannedWhen","delay","platform","plannedPlatform","direction","provenance","line","remarks","currentTripPosition"
"1|27296|3|86|8122021","{""type"":""stop"",""id"":""900000160702"",""name"":""S+U Lichtenberg [Bus]"",""location"":{""type"":""location"",""id"":""900160702"",""latitude"":52.510389,""longitude"":13.49947},""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":false,""express"":true,""regional"":true}}","2021-12-09T02:40:00+01:00","2021-12-09T02:40:00+01:00",,,,,"U Hermannplatz [Bus Westseite]","{""type"":""line"",""id"":""n94"",""fahrtNr"":""53210"",""name"":""N94"",""public"":true,""adminCode"":""BVB"",""productName"":""Bus"",""mode"":""bus"",""product"":""bus"",""operator"":{""type"":""operator"",""id"":""berliner-verkehrsbetriebe"",""name"":""Berliner Verkehrsbetriebe""},""symbol"":""N"",""nr"":94,""metro"":false,""express"":false,""night"":true}","[{""type"":""hint"",""code"":""OPERATOR"",""text"":""BVG (Margaretenstr. (Berlin) [Ri. Lichtenberger Br.] - S+U Lichtenberg (Berlin) [Bus])""},{""type"":""hint"",""code"":""bf"",""text"":""barrierefrei""},{""id"":""144719"",""type"":""warning"",""summary"":""Es gelten 3G-Regel und Maskenpflicht!"",""text"":""Wir empfehlen eine FFP2-Maske.\n<a href=\""https://www.vbb.de/corona\"" target=\""_blank\"" rel=\""noopener\"">Weitere Informationen</a>"",""icon"":{""type"":""HIM0"",""title"":null},""priority"":100,""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":true,""express"":true,""regional"":true},""company"":""VBB"",""categories"":[0],""validFrom"":""2021-11-24T00:00:00+01:00"",""validUntil"":""2022-12-31T00:00:00+01:00"",""modified"":""2021-12-06T15:29:37+01:00""}]","{""type"":""location"",""latitude"":52.501004,""longitude"":13.484422}"
"1|27299|1|86|9122021","{""type"":""stop"",""id"":""900000160702"",""name"":""S+U Lichtenberg [Bus]"",""location"":{""type"":""location"",""id"":""900160702"",""latitude"":52.510389,""longitude"":13.49947},""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":false,""express"":true,""regional"":true}}","2021-12-09T03:50:00+01:00","2021-12-09T03:49:00+01:00",60,,,,"Atzpodienstr./U Magdalenenstr.","{""type"":""line"",""id"":""n94"",""fahrtNr"":""53213"",""name"":""N94"",""public"":true,""adminCode"":""BVB"",""productName"":""Bus"",""mode"":""bus"",""product"":""bus"",""operator"":{""type"":""operator"",""id"":""berliner-verkehrsbetriebe"",""name"":""Berliner Verkehrsbetriebe""},""symbol"":""N"",""nr"":94,""metro"":false,""express"":false,""night"":true}","[{""type"":""hint"",""code"":""OPERATOR"",""text"":""BVG (Einbecker Str./Rosenfelder Str. (Berlin) - S+U Lichtenberg (Berlin) [Bus])""},{""type"":""hint"",""code"":""bf"",""text"":""barrierefrei""},{""id"":""144719"",""type"":""warning"",""summary"":""Es gelten 3G-Regel und Maskenpflicht!"",""text"":""Wir empfehlen eine FFP2-Maske.\n<a href=\""https://www.vbb.de/corona\"" target=\""_blank\"" rel=\""noopener\"">Weitere Informationen</a>"",""icon"":{""type"":""HIM0"",""title"":null},""priority"":100,""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":true,""express"":true,""regional"":true},""company"":""VBB"",""categories"":[0],""validFrom"":""2021-11-24T00:00:00+01:00"",""validUntil"":""2022-12-31T00:00:00+01:00"",""modified"":""2021-12-06T15:29:37+01:00""}]","{""type"":""location"",""latitude"":52.511296,""longitude"":13.497906}"
"1|26803|0|86|9122021","{""type"":""stop"",""id"":""900000160704"",""name"":""S+U Lichtenberg [N50]"",""location"":{""type"":""location"",""id"":""900160704"",""latitude"":52.510496,""longitude"":13.501061},""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":false,""express"":true,""regional"":true}}","2021-12-09T03:54:00+01:00","2021-12-09T03:54:00+01:00",0,,,,"U Tierpark","{""type"":""line"",""id"":""n50"",""fahrtNr"":""52411"",""name"":""N50"",""public"":true,""adminCode"":""BVB"",""productName"":""Bus"",""mode"":""bus"",""product"":""bus"",""operator"":{""type"":""operator"",""id"":""berliner-verkehrsbetriebe"",""name"":""Berliner Verkehrsbetriebe""},""symbol"":""N"",""nr"":50,""metro"":false,""express"":false,""night"":true}","[{""type"":""hint"",""code"":""OPERATOR"",""text"":""BVG (Einbecker Str./Rosenfelder Str. (Berlin) - S+U Lichtenberg (Berlin) [N50])""},{""type"":""hint"",""code"":""bf"",""text"":""barrierefrei""},{""id"":""144719"",""type"":""warning"",""summary"":""Es gelten 3G-Regel und Maskenpflicht!"",""text"":""Wir empfehlen eine FFP2-Maske.\n<a href=\""https://www.vbb.de/corona\"" target=\""_blank\"" rel=\""noopener\"">Weitere Informationen</a>"",""icon"":{""type"":""HIM0"",""title"":null},""priority"":100,""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":true,""express"":true,""regional"":true},""company"":""VBB"",""categories"":[0],""validFrom"":""2021-11-24T00:00:00+01:00"",""validUntil"":""2022-12-31T00:00:00+01:00"",""modified"":""2021-12-06T15:29:37+01:00""}]","{""type"":""location"",""latitude"":52.494873,""longitude"":13.520073}"
"1|37096|0|86|9122021","{""type"":""stop"",""id"":""900000160004"",""name"":""S+U Lichtenberg"",""location"":{""type"":""location"",""id"":""900160004"",""latitude"":52.510676,""longitude"":13.498355},""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":false,""express"":true,""regional"":true}}","2021-12-09T04:34:00+01:00","2021-12-09T04:33:00+01:00",60,"2","2",,"S Strausberg Nord","{""type"":""line"",""id"":""s5"",""fahrtNr"":""28192"",""name"":""S5"",""public"":true,""adminCode"":""DBS"",""productName"":""S"",""mode"":""train"",""product"":""suburban"",""operator"":{""type"":""operator"",""id"":""s-bahn-berlin-gmbh"",""name"":""S-Bahn Berlin GmbH""},""symbol"":""S"",""nr"":5,""metro"":false,""express"":false,""night"":false,""color"":{""fg"":""#fff"",""bg"":""#eb7405""}}","[{""type"":""hint"",""code"":""OPERATOR"",""text"":""DBS (S Friedrichsfelde Ost (Berlin) - S+U Lichtenberg Bhf (Berlin))""},{""type"":""hint"",""code"":""bf"",""text"":""barrierefrei""},{""type"":""hint"",""code"":""FB"",""text"":""Fahrradmitnahme möglich""},{""id"":""144719"",""type"":""warning"",""summary"":""Es gelten 3G-Regel und Maskenpflicht!"",""text"":""Wir empfehlen eine FFP2-Maske.\n<a href=\""https://www.vbb.de/corona\"" target=\""_blank\"" rel=\""noopener\"">Weitere Informationen</a>"",""icon"":{""type"":""HIM0"",""title"":null},""priority"":100,""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":true,""express"":true,""regional"":true},""company"":""VBB"",""categories"":[0],""validFrom"":""2021-11-24T00:00:00+01:00"",""validUntil"":""2022-12-31T00:00:00+01:00"",""modified"":""2021-12-06T15:29:37+01:00""}]","{""type"":""location"",""latitude"":52.507467,""longitude"":13.492539}"
"1|34424|2|86|9122021","{""type"":""stop"",""id"":""900000160701"",""name"":""S+U Lichtenberg [U5]"",""location"":{""type"":""location"",""id"":""900160701"",""latitude"":52.511135,""longitude"":13.498499},""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":false,""express"":true,""regional"":true}}","2021-12-09T04:36:00+01:00","2021-12-09T04:36:00+01:00",0,"1","1",,"U Hönow","{""type"":""line"",""id"":""u5"",""fahrtNr"":""18078"",""name"":""U5"",""public"":true,""adminCode"":""BVU"",""productName"":""U"",""mode"":""train"",""product"":""subway"",""operator"":{""type"":""operator"",""id"":""berliner-verkehrsbetriebe"",""name"":""Berliner Verkehrsbetriebe""},""symbol"":""U"",""nr"":5,""metro"":false,""express"":false,""night"":false,""color"":{""fg"":""#fff"",""bg"":""#805233""}}","[{""type"":""hint"",""code"":""OPERATOR"",""text"":""BVG (U Friedrichsfelde (Berlin) - S+U Lichtenberg (Berlin) [U5])""},{""type"":""hint"",""code"":""bf"",""text"":""barrierefrei""},{""type"":""hint"",""code"":""FB"",""text"":""Fahrradmitnahme möglich""},{""id"":""144719"",""type"":""warning"",""summary"":""Es gelten 3G-Regel und Maskenpflicht!"",""text"":""Wir empfehlen eine FFP2-Maske.\n<a href=\""https://www.vbb.de/corona\"" target=\""_blank\"" rel=\""noopener\"">Weitere Informationen</a>"",""icon"":{""type"":""HIM0"",""title"":null},""priority"":100,""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":true,""express"":true,""regional"":true},""company"":""VBB"",""categories"":[0],""validFrom"":""2021-11-24T00:00:00+01:00"",""validUntil"":""2022-12-31T00:00:00+01:00"",""modified"":""2021-12-06T15:29:37+01:00""}]","{""type"":""location"",""latitude"":52.508564,""longitude"":13.507317}"
"1|17467|0|86|9122021","{""type"":""stop"",""id"":""900000160020"",""name"":""S+U Lichtenberg/Siegfriedstr."",""location"":{""type"":""location"",""id"":""900160020"",""latitude"":52.511953,""longitude"":13.497654},""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":false,""express"":true,""regional"":true}}","2021-12-09T04:37:00+01:00","2021-12-09T04:39:00+01:00",-120,,,,"Siedlung Wartenberg/Str. 5","{""type"":""line"",""id"":""256"",""fahrtNr"":""35616"",""name"":""256"",""public"":true,""adminCode"":""BVB"",""productName"":""Bus"",""mode"":""bus"",""product"":""bus"",""operator"":{""type"":""operator"",""id"":""berliner-verkehrsbetriebe"",""name"":""Berliner Verkehrsbetriebe""},""symbol"":null,""nr"":256,""metro"":false,""express"":false,""night"":false}","[{""type"":""hint"",""code"":""OPERATOR"",""text"":""BVG (Fanningerstr. (Berlin) - S+U Lichtenberg Bhf/Siegfriedstr. (Berlin))""},{""type"":""hint"",""code"":""bf"",""text"":""barrierefrei""},{""id"":""144719"",""type"":""warning"",""summary"":""Es gelten 3G-Regel und Maskenpflicht!"",""text"":""Wir empfehlen eine FFP2-Maske.\n<a href=\""https://www.vbb.de/corona\"" target=\""_blank\"" rel=\""noopener\"">Weitere Informationen</a>"",""icon"":{""type"":""HIM0"",""title"":null},""priority"":100,""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":true,""express"":true,""regional"":true},""company"":""VBB"",""categories"":[0],""validFrom"":""2021-11-24T00:00:00+01:00"",""validUntil"":""2022-12-31T00:00:00+01:00"",""modified"":""2021-12-06T15:29:37+01:00""}]","{""type"":""location"",""latitude"":52.51945,""longitude"":13.499308}"
"1|34533|0|86|9122021","{""type"":""stop"",""id"":""900000160701"",""name"":""S+U Lichtenberg [U5]"",""location"":{""type"":""location"",""id"":""900160701"",""latitude"":52.511135,""longitude"":13.498499},""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":false,""express"":true,""regional"":true}}","2021-12-09T04:38:00+01:00","2021-12-09T04:38:00+01:00",0,"2","2",,"S+U Berlin Hauptbahnhof","{""type"":""line"",""id"":""u5"",""fahrtNr"":""17341"",""name"":""U5"",""public"":true,""adminCode"":""BVU"",""productName"":""U"",""mode"":""train"",""product"":""subway"",""operator"":{""type"":""operator"",""id"":""berliner-verkehrsbetriebe"",""name"":""Berliner Verkehrsbetriebe""},""symbol"":""U"",""nr"":5,""metro"":false,""express"":false,""night"":false,""color"":{""fg"":""#fff"",""bg"":""#805233""}}","[{""type"":""hint"",""code"":""OPERATOR"",""text"":""BVG (U Magdalenenstr. (Berlin) - S+U Lichtenberg (Berlin) [U5])""},{""type"":""hint"",""code"":""bf"",""text"":""barrierefrei""},{""type"":""hint"",""code"":""FB"",""text"":""Fahrradmitnahme möglich""},{""id"":""144719"",""type"":""warning"",""summary"":""Es gelten 3G-Regel und Maskenpflicht!"",""text"":""Wir empfehlen eine FFP2-Maske.\n<a href=\""https://www.vbb.de/corona\"" target=\""_blank\"" rel=\""noopener\"">Weitere Informationen</a>"",""icon"":{""type"":""HIM0"",""title"":null},""priority"":100,""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":true,""express"":true,""regional"":true},""company"":""VBB"",""categories"":[0],""validFrom"":""2021-11-24T00:00:00+01:00"",""validUntil"":""2022-12-31T00:00:00+01:00"",""modified"":""2021-12-06T15:29:37+01:00""}]","{""type"":""location"",""latitude"":52.513679,""longitude"":13.475127}"
"1|37536|0|86|9122021","{""type"":""stop"",""id"":""900000160004"",""name"":""S+U Lichtenberg"",""location"":{""type"":""location"",""id"":""900160004"",""latitude"":52.510676,""longitude"":13.498355},""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":false,""express"":true,""regional"":true}}","2021-12-09T04:38:00+01:00","2021-12-09T04:38:00+01:00",0,"1","1",,"S Grunewald","{""type"":""line"",""id"":""s7"",""fahrtNr"":""28891"",""name"":""S7"",""public"":true,""adminCode"":""DBS"",""productName"":""S"",""mode"":""train"",""product"":""suburban"",""operator"":{""type"":""operator"",""id"":""s-bahn-berlin-gmbh"",""name"":""S-Bahn Berlin GmbH""},""symbol"":""S"",""nr"":7,""metro"":false,""express"":false,""night"":false,""color"":{""fg"":""#fff"",""bg"":""#6d61f2""}}","[{""type"":""hint"",""code"":""OPERATOR"",""text"":""DBS (S Nöldnerplatz (Berlin) - S+U Lichtenberg Bhf (Berlin))""},{""type"":""hint"",""code"":""bf"",""text"":""barrierefrei""},{""type"":""hint"",""code"":""FB"",""text"":""Fahrradmitnahme möglich""},{""id"":""144719"",""type"":""warning"",""summary"":""Es gelten 3G-Regel und Maskenpflicht!"",""text"":""Wir empfehlen eine FFP2-Maske.\n<a href=\""https://www.vbb.de/corona\"" target=\""_blank\"" rel=\""noopener\"">Weitere Informationen</a>"",""icon"":{""type"":""HIM0"",""title"":null},""priority"":100,""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":true,""express"":true,""regional"":true},""company"":""VBB"",""categories"":[0],""validFrom"":""2021-11-24T00:00:00+01:00"",""validUntil"":""2022-12-31T00:00:00+01:00"",""modified"":""2021-12-06T15:29:37+01:00""}]","{""type"":""location"",""latitude"":52.502379,""longitude"":13.474102}"
"1|37166|0|86|9122021","{""type"":""stop"",""id"":""900000160004"",""name"":""S+U Lichtenberg"",""location"":{""type"":""location"",""id"":""900160004"",""latitude"":52.510676,""longitude"":13.498355},""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":false,""express"":true,""regional"":true}}","2021-12-09T04:40:00+01:00","2021-12-09T04:40:00+01:00",0,"1","1",,"S Westkreuz","{""type"":""line"",""id"":""s5"",""fahrtNr"":""27960"",""name"":""S5"",""public"":true,""adminCode"":""DBS"",""productName"":""S"",""mode"":""train"",""product"":""suburban"",""operator"":{""type"":""operator"",""id"":""s-bahn-berlin-gmbh"",""name"":""S-Bahn Berlin GmbH""},""symbol"":""S"",""nr"":5,""metro"":false,""express"":false,""night"":false,""color"":{""fg"":""#fff"",""bg"":""#eb7405""}}","[{""type"":""hint"",""code"":""OPERATOR"",""text"":""DBS (S Nöldnerplatz (Berlin) - S+U Lichtenberg Bhf (Berlin))""},{""type"":""hint"",""code"":""bf"",""text"":""barrierefrei""},{""type"":""hint"",""code"":""FB"",""text"":""Fahrradmitnahme möglich""},{""id"":""144719"",""type"":""warning"",""summary"":""Es gelten 3G-Regel und Maskenpflicht!"",""text"":""Wir empfehlen eine FFP2-Maske.\n<a href=\""https://www.vbb.de/corona\"" target=\""_blank\"" rel=\""noopener\"">Weitere Informationen</a>"",""icon"":{""type"":""HIM0"",""title"":null},""priority"":100,""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":true,""express"":true,""regional"":true},""company"":""VBB"",""categories"":[0],""validFrom"":""2021-11-24T00:00:00+01:00"",""validUntil"":""2022-12-31T00:00:00+01:00"",""modified"":""2021-12-06T15:29:37+01:00""}]","{""type"":""location"",""latitude"":52.504959,""longitude"":13.457832}"
"1|27295|2|86|9122021","{""type"":""stop"",""id"":""900000160702"",""name"":""S+U Lichtenberg [Bus]"",""location"":{""type"":""location"",""id"":""900160702"",""latitude"":52.510389,""longitude"":13.49947},""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":false,""express"":true,""regional"":true}}","2021-12-09T04:42:00+01:00","2021-12-09T04:40:00+01:00",120,,,,"U Hermannplatz [Bus Westseite]","{""type"":""line"",""id"":""n94"",""fahrtNr"":""53209"",""name"":""N94"",""public"":true,""adminCode"":""BVB"",""productName"":""Bus"",""mode"":""bus"",""product"":""bus"",""operator"":{""type"":""operator"",""id"":""berliner-verkehrsbetriebe"",""name"":""Berliner Verkehrsbetriebe""},""symbol"":""N"",""nr"":94,""metro"":false,""express"":false,""night"":true}","[{""type"":""hint"",""code"":""OPERATOR"",""text"":""BVG (Margaretenstr. (Berlin) [Ri. Lichtenberger Br.] - S+U Lichtenberg (Berlin) [Bus])""},{""type"":""hint"",""code"":""bf"",""text"":""barrierefrei""},{""id"":""144719"",""type"":""warning"",""summary"":""Es gelten 3G-Regel und Maskenpflicht!"",""text"":""Wir empfehlen eine FFP2-Maske.\n<a href=\""https://www.vbb.de/corona\"" target=\""_blank\"" rel=\""noopener\"">Weitere Informationen</a>"",""icon"":{""type"":""HIM0"",""title"":null},""priority"":100,""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":true,""express"":true,""regional"":true},""company"":""VBB"",""categories"":[0],""validFrom"":""2021-11-24T00:00:00+01:00"",""validUntil"":""2022-12-31T00:00:00+01:00"",""modified"":""2021-12-06T15:29:37+01:00""}]","{""type"":""location"",""latitude"":52.502056,""longitude"":13.471729}"
"1|30330|0|86|9122021","{""type"":""stop"",""id"":""900000160020"",""name"":""S+U Lichtenberg/Siegfriedstr."",""location"":{""type"":""location"",""id"":""900160020"",""latitude"":52.511953,""longitude"":13.497654},""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":false,""express"":true,""regional"":true}}","2021-12-09T04:42:00+01:00","2021-12-09T04:42:00+01:00",0,,,,"S+U Lichtenberg/Gudrunstr.","{""type"":""line"",""id"":""21"",""fahrtNr"":""399"",""name"":""21"",""public"":true,""adminCode"":""BVT"",""productName"":""Tram"",""mode"":""train"",""product"":""tram"",""operator"":{""type"":""operator"",""id"":""berliner-verkehrsbetriebe"",""name"":""Berliner Verkehrsbetriebe""},""symbol"":null,""nr"":21,""metro"":false,""express"":false,""night"":false,""color"":{""fg"":""#fff"",""bg"":""#BC90C1""}}","[{""type"":""hint"",""code"":""OPERATOR"",""text"":""BVG""},{""type"":""hint"",""code"":""bf"",""text"":""barrierefrei""},{""type"":""hint"",""code"":""FB"",""text"":""Fahrradmitnahme möglich""},{""id"":""144719"",""type"":""warning"",""summary"":""Es gelten 3G-Regel und Maskenpflicht!"",""text"":""Wir empfehlen eine FFP2-Maske.\n<a href=\""https://www.vbb.de/corona\"" target=\""_blank\"" rel=\""noopener\"">Weitere Informationen</a>"",""icon"":{""type"":""HIM0"",""title"":null},""priority"":100,""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":true,""express"":true,""regional"":true},""company"":""VBB"",""categories"":[0],""validFrom"":""2021-11-24T00:00:00+01:00"",""validUntil"":""2022-12-31T00:00:00+01:00"",""modified"":""2021-12-06T15:29:37+01:00""}]",
"1|37293|0|86|9122021","{""type"":""stop"",""id"":""900000160004"",""name"":""S+U Lichtenberg"",""location"":{""type"":""location"",""id"":""900160004"",""latitude"":52.510676,""longitude"":13.498355},""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":false,""express"":true,""regional"":true}}","2021-12-09T04:43:00+01:00","2021-12-09T04:43:00+01:00",0,"2","2",,"S Mahlsdorf","{""type"":""line"",""id"":""s5"",""fahrtNr"":""28507"",""name"":""S5"",""public"":true,""adminCode"":""DBS"",""productName"":""S"",""mode"":""train"",""product"":""suburban"",""operator"":{""type"":""operator"",""id"":""s-bahn-berlin-gmbh"",""name"":""S-Bahn Berlin GmbH""},""symbol"":""S"",""nr"":5,""metro"":false,""express"":false,""night"":false,""color"":{""fg"":""#fff"",""bg"":""#eb7405""}}","[{""type"":""hint"",""code"":""OPERATOR"",""text"":""DBS (S Friedrichsfelde Ost (Berlin) - S+U Lichtenberg Bhf (Berlin))""},{""type"":""hint"",""code"":""bf"",""text"":""barrierefrei""},{""type"":""hint"",""code"":""FB"",""text"":""Fahrradmitnahme möglich""},{""id"":""144719"",""type"":""warning"",""summary"":""Es gelten 3G-Regel und Maskenpflicht!"",""text"":""Wir empfehlen eine FFP2-Maske.\n<a href=\""https://www.vbb.de/corona\"" target=\""_blank\"" rel=\""noopener\"">Weitere Informationen</a>"",""icon"":{""type"":""HIM0"",""title"":null},""priority"":100,""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":true,""express"":true,""regional"":true},""company"":""VBB"",""categories"":[0],""validFrom"":""2021-11-24T00:00:00+01:00"",""validUntil"":""2022-12-31T00:00:00+01:00"",""modified"":""2021-12-06T15:29:37+01:00""}]","{""type"":""location"",""latitude"":52.512753,""longitude"":13.575348}"
"1|34443|1|86|9122021","{""type"":""stop"",""id"":""900000160701"",""name"":""S+U Lichtenberg [U5]"",""location"":{""type"":""location"",""id"":""900160701"",""latitude"":52.511135,""longitude"":13.498499},""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":false,""express"":true,""regional"":true}}","2021-12-09T05:46:00+01:00","2021-12-09T05:46:00+01:00",0,"1","1",,"U Hönow","{""type"":""line"",""id"":""u5"",""fahrtNr"":""18082"",""name"":""U5"",""public"":true,""adminCode"":""BVU"",""productName"":""U"",""mode"":""train"",""product"":""subway"",""operator"":{""type"":""operator"",""id"":""berliner-verkehrsbetriebe"",""name"":""Berliner Verkehrsbetriebe""},""symbol"":""U"",""nr"":5,""metro"":false,""express"":false,""night"":false,""color"":{""fg"":""#fff"",""bg"":""#805233""}}","[{""type"":""hint"",""code"":""OPERATOR"",""text"":""BVG (U Friedrichsfelde (Berlin) - S+U Lichtenberg (Berlin) [U5])""},{""type"":""hint"",""code"":""bf"",""text"":""barrierefrei""},{""type"":""hint"",""code"":""FB"",""text"":""Fahrradmitnahme möglich""},{""id"":""144719"",""type"":""warning"",""summary"":""Es gelten 3G-Regel und Maskenpflicht!"",""text"":""Wir empfehlen eine FFP2-Maske.\n<a href=\""https://www.vbb.de/corona\"" target=\""_blank\"" rel=\""noopener\"">Weitere Informationen</a>"",""icon"":{""type"":""HIM0"",""title"":null},""priority"":100,""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":true,""express"":true,""regional"":true},""company"":""VBB"",""categories"":[0],""validFrom"":""2021-11-24T00:00:00+01:00"",""validUntil"":""2022-12-31T00:00:00+01:00"",""modified"":""2021-12-06T15:29:37+01:00""}]","{""type"":""location"",""latitude"":52.510344,""longitude"":13.501663}"
"1|37503|2|86|9122021","{""type"":""stop"",""id"":""900000160004"",""name"":""S+U Lichtenberg"",""location"":{""type"":""location"",""id"":""900160004"",""latitude"":52.510676,""longitude"":13.498355},""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":false,""express"":true,""regional"":true}}","2021-12-09T05:46:00+01:00","2021-12-09T05:46:00+01:00",0,"2","2",,"S Ahrensfelde","{""type"":""line"",""id"":""s7"",""fahrtNr"":""159"",""name"":""S7"",""public"":true,""adminCode"":""DBS"",""productName"":""S"",""mode"":""train"",""product"":""suburban"",""operator"":{""type"":""operator"",""id"":""s-bahn-berlin-gmbh"",""name"":""S-Bahn Berlin GmbH""},""symbol"":""S"",""nr"":7,""metro"":false,""express"":false,""night"":false,""color"":{""fg"":""#fff"",""bg"":""#6d61f2""}}","[{""type"":""hint"",""code"":""OPERATOR"",""text"":""DBS (S Friedrichsfelde Ost (Berlin) - S+U Lichtenberg Bhf (Berlin))""},{""type"":""hint"",""code"":""bf"",""text"":""barrierefrei""},{""type"":""hint"",""code"":""FB"",""text"":""Fahrradmitnahme möglich""},{""id"":""144719"",""type"":""warning"",""summary"":""Es gelten 3G-Regel und Maskenpflicht!"",""text"":""Wir empfehlen eine FFP2-Maske.\n<a href=\""https://www.vbb.de/corona\"" target=\""_blank\"" rel=\""noopener\"">Weitere Informationen</a>"",""icon"":{""type"":""HIM0"",""title"":null},""priority"":100,""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":true,""express"":true,""regional"":true},""company"":""VBB"",""categories"":[0],""validFrom"":""2021-11-24T00:00:00+01:00"",""validUntil"":""2022-12-31T00:00:00+01:00"",""modified"":""2021-12-06T15:29:37+01:00""}]","{""type"":""location"",""latitude"":52.512519,""longitude"":13.503281}"
"1|16265|0|86|9122021","{""type"":""stop"",""id"":""900000160702"",""name"":""S+U Lichtenberg [Bus]"",""location"":{""type"":""location"",""id"":""900160702"",""latitude"":52.510389,""longitude"":13.49947},""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":false,""express"":true,""regional"":true}}","2021-12-09T05:47:00+01:00","2021-12-09T05:47:00+01:00",0,,,,"S Storkower Str.","{""type"":""line"",""id"":""240"",""fahrtNr"":""33153"",""name"":""240"",""public"":true,""adminCode"":""BVB"",""productName"":""Bus"",""mode"":""bus"",""product"":""bus"",""operator"":{""type"":""operator"",""id"":""berliner-verkehrsbetriebe"",""name"":""Berliner Verkehrsbetriebe""},""symbol"":null,""nr"":240,""metro"":false,""express"":false,""night"":false}","[{""type"":""hint"",""code"":""OPERATOR"",""text"":""BVG (Einbecker Str./Rosenfelder Str. (Berlin) - S+U Lichtenberg (Berlin) [Bus])""},{""type"":""hint"",""code"":""bf"",""text"":""barrierefrei""},{""id"":""144719"",""type"":""warning"",""summary"":""Es gelten 3G-Regel und Maskenpflicht!"",""text"":""Wir empfehlen eine FFP2-Maske.\n<a href=\""https://www.vbb.de/corona\"" target=\""_blank\"" rel=\""noopener\"">Weitere Informationen</a>"",""icon"":{""type"":""HIM0"",""title"":null},""priority"":100,""products"":{""suburban"":true,""subway"":true,""tram"":true,""bus"":true,""ferry"":true,""express"":true,""regional"":true},""company"":""VBB"",""categories"":[0],""validFrom"":""2021-11-24T00:00:00+01:00"",""validUntil"":""2022-12-31T00:00:00+01:00"",""modified"":""2021-12-06T15:29:37+01:00""}]","{""type"":""location"",""latitude"":52.510892,""longitude"":13.501789}"
